to_extension,from_operator,to_number,from_country,call_duration,to_country,from_number,call_charge,to_operator,call_date,cdr_id
,Telenor,+45494804252898,Denmark,0.060665760706781,Denmark,+45142935545098,0.499892685919777,Telenor,2015-09-22T19:29:44,75215
,Etisalat,+225436927136089,Ivory Coast,0.30160426773962,Ivory Coast,+225727633687581,1.00294471431312,Etisalat,2015-10-13T20:14:21,75223
,Axiata,+855423651344928,Cambodia,1.51204880157583,Cambodia,+855298974216488,0.37796404533046,Axiata,2015-05-09T08:45:04,75233
,Airtel,+227514315000649,Niger,0.165618545370223,Niger,+227711164375498,1.56170116895286,Etisalat,2015-05-21T19:02:57,75256
,Airtel,+235968698686374,Chad,0.500749262466579,Chad,+235832824130489,0.953520571625824,Airtel,2016-06-15T07:00:55,75257
,Telefónica,+39613200265761,Italy,0.502013470791565,Italy,+39642605135021,0.648707790248351,Vodafone,2015-04-06T09:10:48,75281
,Veon,+374212125223419,Armenia,0.144159618147788,Armenia,+374826409272616,0.466341483278834,Veon,2015-06-06T11:54:57,75286
,Etisalat,\+228102334669631\,Togo,0.0187159219766676,Togo,+228527051450436,2.8537491761054,Etisalat,2016-06-22T01:23:51,75288
,América Móvil,+595493917579895,Paraguay,2.90746813023966,Paraguay,+595664231647569,0.728682185080146,América Móvil,2016-11-21T13:52:14,75302
x5959827,Airtel,+93386298224045,Afghanistan,0.0307388977687569,Afghanistan,+9325817508787,0.316739205391543,Etisalat,2016-02-16T00:22:32,75315
x156862,América Móvil,+386776207617916,Slovenia,1.74512156985917,Slovenia,+38695680525754,0.475516716378334,América Móvil,2015-05-21T06:42:41,75338
,MTS,+374326313515369,Armenia,0.460951301437179,Armenia,+374739085025136,0.939727011509524,MTS,2016-01-15T10:40:53,75350
,Orange,+33545853871129,France,4.11523492400083,France,+33826400822643,0.418635251881949,Orange,2016-10-16T03:55:04,75361
,Deutsche Telekom,nan,Macedonia,2.80860436947161,Macedonia,+389582569273739,0.649876888974571,Deutsche Telekom,2016-02-17T00:29:53,75362
,Veon,+263101242626192,Zimbabwe,0.0852213145473343,Zimbabwe,+263688044532697,2.65308045258395,Veon,2016-11-26T00:59:39,75366
